Setting,Metric,L-SLR,SLR,RandomForest,XGBoost,CatBoost,TabPFN
Dataset 1,AUC,0.609 ± 0.041,0.637 ± 0.030,0.756 ± 0.017,0.756 ± 0.020,0.763 ± 0.018,0.775 ± 0.018
Dataset 1,Brier,0.243 ± 0.008,0.270 ± 0.034,0.205 ± 0.006,0.200 ± 0.013,0.196 ± 0.009,0.188 ± 0.007
Dataset 1,MSE,0.418 ± 0.038,0.386 ± 0.025,0.305 ± 0.016,0.301 ± 0.020,0.297 ± 0.018,0.283 ± 0.016
Dataset 1,Time,0.116 ± 0.062,568.394 ± 112.705,1.494 ± 0.175,0.303 ± 0.045,1.193 ± 0.117,3.720 ± 0.403
Dataset 2,AUC,0.811 ± 0.019,0.795 ± 0.025,0.813 ± 0.016,0.810 ± 0.016,0.820 ± 0.014,0.825 ± 0.013
Dataset 2,Brier,0.178 ± 0.009,0.190 ± 0.013,0.183 ± 0.008,0.180 ± 0.010,0.175 ± 0.008,0.172 ± 0.006
Dataset 2,MSE,0.276 ± 0.024,0.291 ± 0.030,0.258 ± 0.017,0.267 ± 0.017,0.258 ± 0.016,0.259 ± 0.015
Dataset 2,Time,0.125 ± 0.030,2.492 ± 11.584,2.766 ± 0.527,0.536 ± 0.137,2.226 ± 0.441,19.085 ± 0.929
Dataset 3,AUC,0.748 ± 0.051,0.570 ± 0.024,0.807 ± 0.019,0.837 ± 0.015,0.843 ± 0.014,0.857 ± 0.012
Dataset 3,Brier,0.222 ± 0.025,0.400 ± 0.033,0.195 ± 0.010,0.168 ± 0.012,0.160 ± 0.009,0.152 ± 0.007
Dataset 3,MSE,0.303 ± 0.043,0.439 ± 0.026,0.253 ± 0.022,0.229 ± 0.015,0.219 ± 0.013,0.214 ± 0.013
Dataset 3,Time,72.838 ± 138.773,611.164 ± 1053.176,2.318 ± 0.284,2.619 ± 0.279,2.271 ± 0.251,13.768 ± 2.061
