Setting,Metric,L-SLR,SLR,RandomForest,XGBoost,CatBoost,TabPFN
Setting 1,AUC,0.906 ± 0.013,0.870 ± 0.035,0.890 ± 0.015,0.871 ± 0.015,0.888 ± 0.013,0.915 ± 0.010
Setting 1,Brier,0.129 ± 0.009,0.155 ± 0.030,0.157 ± 0.009,0.152 ± 0.011,0.138 ± 0.009,0.118 ± 0.007
Setting 1,Time,0.107 ± 0.054,7.963 ± 1.561,2.937 ± 0.618,1.072 ± 0.295,5.057 ± 1.053,15.922 ± 0.476
Setting 2,AUC,0.498 ± 0.014,0.875 ± 0.026,0.830 ± 0.023,0.784 ± 0.020,0.821 ± 0.022,0.846 ± 0.019
Setting 2,Brier,0.259 ± 0.014,0.157 ± 0.012,0.182 ± 0.012,0.199 ± 0.011,0.178 ± 0.013,0.163 ± 0.009
Setting 2,Time,0.063 ± 0.018,8.228 ± 1.966,3.106 ± 0.821,1.159 ± 0.384,5.223 ± 1.224,16.100 ± 0.371
Setting 3,AUC,0.937 ± 0.015,0.961 ± 0.010,0.959 ± 0.009,0.948 ± 0.009,0.961 ± 0.008,0.971 ± 0.006
Setting 3,Brier,0.101 ± 0.017,0.081 ± 0.014,0.099 ± 0.009,0.092 ± 0.010,0.080 ± 0.009,0.066 ± 0.008
Setting 3,Time,0.196 ± 0.080,9.425 ± 1.705,2.854 ± 0.558,0.899 ± 0.216,5.184 ± 1.088,16.081 ± 0.535
Setting 4,AUC,0.893 ± 0.021,0.821 ± 0.047,0.880 ± 0.016,0.861 ± 0.019,0.880 ± 0.015,0.909 ± 0.013
Setting 4,Brier,0.097 ± 0.011,0.117 ± 0.015,0.110 ± 0.006,0.112 ± 0.009,0.105 ± 0.007,0.086 ± 0.006
Setting 4,Time,0.188 ± 0.111,8.694 ± 1.884,2.959 ± 0.588,0.904 ± 0.236,5.206 ± 1.018,16.102 ± 0.241
Setting 5,AUC,0.914 ± 0.014,0.888 ± 0.023,0.921 ± 0.012,0.903 ± 0.013,0.916 ± 0.012,0.936 ± 0.008
Setting 5,Brier,0.121 ± 0.011,0.138 ± 0.013,0.136 ± 0.009,0.130 ± 0.010,0.118 ± 0.009,0.100 ± 0.007
Setting 5,Time,0.240 ± 0.117,11.889 ± 1.174,2.917 ± 0.586,1.081 ± 0.265,5.485 ± 1.123,16.147 ± 0.248
Setting 6,AUC,0.859 ± 0.017,0.945 ± 0.015,0.901 ± 0.014,0.892 ± 0.016,0.906 ± 0.014,0.937 ± 0.011
Setting 6,Brier,0.155 ± 0.012,0.092 ± 0.021,0.136 ± 0.008,0.134 ± 0.013,0.121 ± 0.010,0.096 ± 0.009
Setting 6,Time,0.152 ± 0.073,12.146 ± 1.059,2.833 ± 0.581,1.006 ± 0.227,5.525 ± 1.250,16.101 ± 0.273
Setting 7,AUC,0.821 ± 0.026,0.780 ± 0.043,0.792 ± 0.020,0.774 ± 0.019,0.784 ± 0.020,0.823 ± 0.016
Setting 7,Brier,0.181 ± 0.017,0.197 ± 0.032,0.202 ± 0.007,0.204 ± 0.012,0.195 ± 0.011,0.173 ± 0.008
Setting 7,Time,0.190 ± 0.084,30.803 ± 4.536,3.215 ± 0.670,1.929 ± 0.496,8.405 ± 1.476,30.716 ± 0.890
Setting 8,AUC,0.810 ± 0.043,0.742 ± 0.047,0.769 ± 0.027,0.761 ± 0.024,0.773 ± 0.022,0.818 ± 0.020
Setting 8,Brier,0.192 ± 0.043,0.209 ± 0.022,0.216 ± 0.006,0.211 ± 0.015,0.201 ± 0.012,0.175 ± 0.010
Setting 8,Time,1.606 ± 0.757,238.995 ± 31.565,3.254 ± 0.644,3.725 ± 0.701,16.493 ± 2.562,65.790 ± 1.282
