iter	Passed	Remaining
0	16	3262
1	32	3229
2	48	3200
3	73	3582
4	91	3565
5	111	3600
6	128	3535
7	142	3421
8	157	3333
9	171	3261
10	186	3207
11	201	3152
12	215	3096
13	229	3051
14	244	3012
15	258	2977
16	273	2943
17	287	2911
18	302	2880
19	317	2856
20	331	2825
21	346	2800
22	360	2775
23	375	2752
24	390	2733
25	405	2713
26	419	2689
27	434	2669
28	449	2649
29	464	2630
30	479	2612
31	493	2592
32	508	2573
33	523	2554
34	539	2545
35	554	2525
36	569	2508
37	583	2489
38	598	2471
39	613	2453
40	628	2436
41	643	2419
42	657	2401
43	672	2383
44	687	2366
45	701	2349
46	716	2332
47	730	2314
48	745	2297
49	760	2280
50	774	2263
51	789	2246
52	804	2230
53	818	2213
54	833	2197
55	848	2181
56	863	2165
57	877	2148
58	892	2132
59	906	2115
60	921	2099
61	936	2084
62	951	2070
63	966	2053
64	981	2037
65	996	2022
66	1010	2006
67	1025	1991
68	1043	1981
69	1058	1965
70	1073	1950
71	1092	1941
72	1111	1934
73	1131	1926
74	1150	1917
75	1166	1903
76	1183	1889
77	1197	1873
78	1212	1856
79	1226	1840
80	1241	1824
81	1256	1807
82	1270	1791
83	1285	1774
84	1299	1758
85	1314	1742
86	1329	1726
87	1344	1710
88	1359	1695
89	1373	1679
90	1388	1662
91	1403	1647
92	1417	1631
93	1432	1615
94	1447	1599
95	1461	1583
96	1476	1567
97	1490	1551
98	1508	1538
99	1522	1522
100	1537	1507
101	1551	1490
102	1566	1475
103	1580	1459
104	1595	1443
105	1610	1428
106	1625	1412
107	1640	1397
108	1654	1381
109	1669	1365
110	1683	1349
111	1698	1334
112	1712	1318
113	1727	1303
114	1742	1287
115	1756	1271
116	1771	1256
117	1785	1241
118	1800	1225
119	1815	1210
120	1829	1194
121	1843	1178
122	1858	1163
123	1872	1147
124	1887	1132
125	1902	1117
126	1916	1101
127	1931	1086
128	1946	1071
129	1961	1056
130	1976	1040
131	1991	1025
132	2009	1012
133	2023	996
134	2038	981
135	2053	966
136	2068	951
137	2082	935
138	2097	920
139	2116	907
140	2144	897
141	2165	884
142	2180	869
143	2195	853
144	2210	838
145	2225	823
146	2239	807
147	2255	792
148	2270	777
149	2284	761
150	2299	746
151	2314	730
152	2329	715
153	2343	700
154	2358	684
155	2374	669
156	2388	654
157	2403	638
158	2417	623
159	2432	608
160	2447	592
161	2464	578
162	2480	562
163	2495	547
164	2510	532
165	2524	517
166	2538	501
167	2553	486
168	2568	471
169	2582	455
170	2597	440
171	2611	425
172	2626	409
173	2641	394
174	2655	379
175	2670	364
176	2685	348
177	2699	333
178	2714	318
179	2728	303
180	2743	287
181	2757	272
182	2772	257
183	2787	242
184	2802	227
185	2817	212
186	2831	196
187	2846	181
188	2861	166
189	2876	151
190	2890	136
191	2905	121
192	2921	105
193	2935	90
194	2950	75
195	2966	60
196	2981	45
197	2996	30
198	3010	15
199	3026	0
